Country Name,Country Code,Series Name,Series Code,2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
Bangladesh,BGD,"Natural capital per capita, fisheries (constant 2018 US$)",NW.NCA.FISH.PC,19.3490012780217,22.7804042766789,21.8857253715247,22.6957007323853,22.2427823199478,21.5228605206874,21.2690896926335,21.8222111196024,21.9671692683349,22.3246001423106
Bangladesh,BGD,"Natural capital per capita, forests: ecosystem services (constant 2018 US$)",NW.NCA.FECO.PC,11.0775749274128,10.8126339166013,10.3341334459709,9.8225799856784,9.73438188097811,9.55193173857126,9.38774277957832,11.4340714420925,11.8965770871475,12.119850640051
Bangladesh,BGD,"Natural capital per capita, forests: timber (constant 2018 US$)",NW.NCA.FTIM.PC,5.84735276213849,7.4494217496399,8.56874280984053,8.79325151404313,8.81421551311107,8.96125043278754,8.45135159865072,8.1498173794757,7.75925293827105,7.14663320208408
Bangladesh,BGD,"Natural capital per capita, fossil fuels (constant 2018 US$)",NW.NCA.FOSL.PC,118.60328280172,115.055168255879,127.347200457882,120.258201468104,113.957785235557,110.879604826026,98.9565048213315,77.6364229788711,62.3325914339272,56.2727601502087
Bangladesh,BGD,"Natural capital per capita, mangroves (constant 2018 US$)",NW.NCA.MANG.PC,28.0931477741695,28.796222545432,33.5353542467146,38.1588423499723,42.6709719293069,47.0809177765015,51.3981619387621,55.6281113543076,59.7727695180924,63.8357740962131
Bangladesh,BGD,"Natural capital per capita, nonrenewable assets (constant 2018 US$)",NW.NCA.SSOI.PC,118.60328280172,115.055168255879,127.347200457882,120.258201468104,113.957785235557,110.879604826026,98.9565048213315,77.6364229788711,62.3325914339272,56.2727601502087
Belarus,BLR,Human capital (constant 2018 US$),NW.HCA.TO,335074912038.118,376499576348.879,334517702834.54,366040117261.525,430338083313.935,422855907897.728,389308058292.604,375617149790.917,383377780702.046,386912467024.488
Belarus,BLR,Human capital per capita (constant 2018 US$),NW.HCA.PC,35245.9445498146,39670.8586130988,35312.1111740123,38675.0816880906,45461.4641557498,44630.8952406861,41024.6376979431,39532.263926111,40362.9316580426,40798.4929427934
Belarus,BLR,"Human capital per capita, employed female (constant 2018 US$)",NW.HCA.FEMP.PC,15387.9594689328,17107.3454204043,15308.9150849782,16547.4114616087,19333.0578703501,19051.615296685,17563.3164330857,16877.193163255,17213.4359654135,17377.1411590692
Belarus,BLR,"Human capital per capita, employed male (constant 2018 US$)",NW.HCA.MEMP.PC,17271.443024945,19203.0931886994,17201.6534993475,18953.0188721109,22321.7258405403,22118.2261755711,20513.1642492099,19814.1603300495,20248.8909142053,20489.4462277813
Belarus,BLR,"Human capital per capita, female (constant 2018 US$)",NW.HCA.FEMA.PC,16606.6469304963,18690.5779003217,16628.1346335756,18027.1755578211,21099.8362995742,20653.2407234359,18923.1956454604,18183.9477408078,18546.2248969396,18722.6053328059
