,user,text,favorite_count,retweet_count,created_at
45,nanashimumei_en,Starting now :D https://t.co/fXwCylshnQ,1950,135,2022-11-16 03:02:00+00:00
46,nanashimumei_en,"【RIMWORLD】

New planet, hoo's this?

https://t.co/gnMVuUSmK2 https://t.co/ofYfykXRsy",2981,294,2022-11-16 00:10:30+00:00
47,nanashimumei_en,@AZKi_VDiVA AZKI先輩🤎4周年おめでと！,2457,84,2022-11-16 00:05:10+00:00
48,nanashimumei_en,@hakosbaelz chu,4654,156,2022-11-15 23:57:52+00:00
49,nanashimumei_en,"art!
https://t.co/DD8WROW0ae",1236,59,2022-11-15 03:32:53+00:00
50,nanashimumei_en,"Woops! 
Weekly Schedule ! ~
#watchMEI https://t.co/cWSdatU5OF",7076,653,2022-11-15 03:32:33+00:00
51,nanashimumei_en,I'll make a schedule tomorrow!! zzzzzz,5253,222,2022-11-14 09:53:23+00:00
52,nanashimumei_en,Starting now :D https://t.co/9t4CmVKWuE,2320,137,2022-11-14 03:01:22+00:00
53,nanashimumei_en,"thumbnail!
https://t.co/pvrhNbWqRx",912,35,2022-11-14 01:22:50+00:00
54,nanashimumei_en,"Hoo knows what we will do today ! 🦉

https://t.co/uQ0izMLKUh https://t.co/DL5aIALDBo",4543,332,2022-11-14 01:22:40+00:00
55,nanashimumei_en,@kanauru @yoshi_kennn @whoosrockq @genoge_cg :'D !!!!!,3725,108,2022-11-13 05:54:53+00:00
56,nanashimumei_en,"Unarchived showtunes for members today ~
https://t.co/8c9GM05Lmm",2360,216,2022-11-12 22:05:25+00:00
57,nanashimumei_en,@inugamikorone どちらもかわいい !!!🤎,2939,96,2022-11-12 22:03:41+00:00
58,nanashimumei_en,caffin the caffy caffeine,6411,348,2022-11-12 11:40:02+00:00
59,nanashimumei_en,@yozoramel メル先輩はもっとかわいい !,2006,58,2022-11-12 07:45:39+00:00
60,nanashimumei_en,Starting now! 😱 https://t.co/Sh6VU36jwZ,2103,156,2022-11-12 04:02:05+00:00
61,nanashimumei_en,"thumbnail art!
https://t.co/KmDGzAMf5m",654,28,2022-11-12 01:18:11+00:00
62,nanashimumei_en,"【RESIDENT EVIL 7: BIOHAZARD】

Let's finish this once and for all!!
8 PM PST | 1 PM JST

🍓https://t.co/Wjl3HhLTtY https://t.co/YOwzwuyK2F",3183,297,2022-11-12 01:18:01+00:00
63,nanashimumei_en,"assets! ~
https://t.co/YeaLgnh3vC",1166,53,2022-11-12 00:38:20+00:00
64,nanashimumei_en,mmm comfy ! 🤎 https://t.co/sMDjJCAuf3,28832,2507,2022-11-12 00:37:44+00:00
65,nanashimumei_en,Starting now :D https://t.co/nK1Epjj0PF,1998,158,2022-11-11 03:08:46+00:00
66,nanashimumei_en,"thank you for the thumbnail art!! 🤎
https://t.co/YxLbzTnQa3",737,34,2022-11-10 23:36:51+00:00
67,nanashimumei_en,"【WE WERE HERE FOREVER】

The journey continues with @ourokronii ! ~
~ 7 PM PST | 12 PM JST ~

▶️ https://t.co/oXsayuxMNf https://t.co/3uUpq9eDqp",3465,385,2022-11-10 23:36:34+00:00
68,nanashimumei_en,@iro_aotake Access: https://t.co/jC1ClS3jl1,1586,90,2022-11-09 07:33:25+00:00
69,nanashimumei_en,".•° ✿ °•. ANNOUNCEMENT °•. ✿ .•°

I have started doing Members Only Exclusive Wallpapers! They will be monthly ~

This month's illustration was done by @iro_aotake🍂 https://t.co/UckURgqnSB",3916,355,2022-11-09 07:32:28+00:00
70,nanashimumei_en,Starting now! https://t.co/2oWsQxVHFG,2033,161,2022-11-09 03:17:24+00:00
71,nanashimumei_en,"thumbnail!
https://t.co/6TrspzFtTb",812,35,2022-11-09 01:17:32+00:00
72,nanashimumei_en,"【SETTLEMENT SURVIVAL】

Guardian of Civilization here to help!
7:15 PM PST | 12:15 PM JST

https://t.co/0wXovbPE8k https://t.co/XCF6a5MCcy",2708,271,2022-11-09 01:17:06+00:00
73,nanashimumei_en,Not related to my lack of sleep _(:3」∠)_,2018,57,2022-11-08 23:26:35+00:00
74,nanashimumei_en,I have to push the stream today back by an hour or so! 🙇‍♀️ https://t.co/H8aYMjv7pm,3570,201,2022-11-08 23:25:53+00:00
75,nanashimumei_en,"thumbnail!
https://t.co/hMnfX14bo8",843,35,2022-11-07 23:33:15+00:00
76,nanashimumei_en,"【DRAWING】

HOLOEN from MEMORY Part 2 👁️
7PM PST | 5AM CEST | 12PM JST

▶️ https://t.co/zmNz6oQZMg https://t.co/QtrrMgzbQS",3252,323,2022-11-07 23:32:23+00:00
77,nanashimumei_en,Thank you for 400k views💜 https://t.co/PRSGEfC6qK,3921,304,2022-11-07 23:24:40+00:00
78,nanashimumei_en,"beautiful art!!
https://t.co/FDPzkOtzx1",954,45,2022-11-07 12:57:56+00:00
